objectID,title,artistDisplayName,artistRole,objectDate,period,culture,medium,dimensions,department,objectURL,primaryImage,primaryImageSmall,isPublicDomain,localImageFileName,artist_slug,object_year,has_local_image,image_path,metadata_source
764091,Our Lady of Valvanera,Unknown Artist,Artist,ca. 1770–80,,Peru (Cuzco),Oil and gold on canvas,80 1/16 × 95 7/8 in. (203.4 × 243.5 cm),The American Wing,https://www.metmuseum.org/art/collection/search/764091,https://images.metmuseum.org/CRDImages/ad/original/DP-17034-002.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP-17034-002.jpg,True,unknown_artist_764091.jpg,unknown_artist,1770.0,True,met_art_data/images/unknown_artist_764091.jpg,met_collection_api_2026-04-09
453250,Study of a Bird,Riza-yi 'Abbasi,Artist,dated 1043 AH/1634 CE,,,"Ink, opaque watercolor, gold, and silver on paper","Overall:
             H. 4 1/4 in. (10.8 cm)
             W. 7 1/4 in. (18.4 cm)
Painting:
             H.3 7/8 in. (9.8 cm)
             W. 6 7/8 in. (17.5 cm)",Islamic Art,https://www.metmuseum.org/art/collection/search/453250,https://images.metmuseum.org/CRDImages/is/original/DP231354.jpg,https://images.metmuseum.org/CRDImages/is/web-large/DP231354.jpg,True,rizayi_abbasi_453250.jpg,rizayi_abbasi,1043.0,True,met_art_data/images/rizayi_abbasi_453250.jpg,met_collection_api_2026-04-09
469887,Martyrdom of Saint Lawrence,Unknown Artist,,ca. 1180,,British,"Pot-metal glass, vitreous paint",Overall: 25 9/16 x 12 5/8in. (65 x 32cm),The Cloisters,https://www.metmuseum.org/art/collection/search/469887,https://images.metmuseum.org/CRDImages/cl/original/DP102842.jpg,https://images.metmuseum.org/CRDImages/cl/web-large/DP102842.jpg,True,unknown_artist_469887.jpg,unknown_artist,1180.0,True,met_art_data/images/unknown_artist_469887.jpg,met_collection_api_2026-04-09
764095,"Christ Carrying the Cross, called ""The Lord of the Fall""",Unknown Artist,Artist,ca. 1770–75,,Peru (Cuzco),Oil and gold on canvas,65 × 48 in. (165.1 × 121.9 cm),The American Wing,https://www.metmuseum.org/art/collection/search/764095,https://images.metmuseum.org/CRDImages/ad/original/DP-18755-007.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP-18755-007.jpg,True,unknown_artist_764095.jpg,unknown_artist,1770.0,True,met_art_data/images/unknown_artist_764095.jpg,met_collection_api_2026-04-09
551786,"Book of the Dead of the Priest of Horus, Imhotep (Imuthes)",Unknown Artist,,ca. 332–200 B.C.,Early Ptolemaic Period,,"Papyrus, ink",Approximate measurements (framed): L. 21.9 m (71 ft. 10 3/16 in); H. 35 cm (1 ft. 1 3/4 in.). Length previously estimated at 63 ft. (19.2 m).,Egyptian Art,https://www.metmuseum.org/art/collection/search/551786,https://images.metmuseum.org/CRDImages/eg/original/2-35.9.20a–w_EGDP014589-4594.jpg,https://images.metmuseum.org/CRDImages/eg/web-large/2-35.9.20a–w_EGDP014589-4594.jpg,True,unknown_artist_551786.jpg,unknown_artist,332.0,True,met_art_data/images/unknown_artist_551786.jpg,met_collection_api_2026-04-09
729644,"In proof of true love, a watercarrier skeleton arguing with a woman (Posada); two skeleton angels in upper corners (Manilla)",José Guadalupe Posada,Artist,ca. 1890–96,,,Type-metal engraving and letterpress,Sheet: 15 3/4 × 11 13/16 in. (40 × 30 cm),Drawings and Prints,https://www.metmuseum.org/art/collection/search/729644,https://images.metmuseum.org/CRDImages/dp/original/DP865112.jpg,https://images.metmuseum.org/CRDImages/dp/web-large/DP865112.jpg,True,jos_guadalupe_posada_729644.jpg,jos_guadalupe_posada,1890.0,True,met_art_data/images/jos_guadalupe_posada_729644.jpg,met_collection_api_2026-04-09
643540,Portrait of a Woman,Giovanni Battista Gaulli (Il Baciccio),Artist,ca. 1670s,,,Oil on canvas,29 7/8 × 23 3/8 in. (75.9 × 59.4 cm),European Paintings,https://www.metmuseum.org/art/collection/search/643540,https://images.metmuseum.org/CRDImages/ep/original/DP341866.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP341866.jpg,True,giovanni_battista_gaulli_il_baciccio_643540.jpg,giovanni_battista_gaulli_il_baciccio,1670.0,True,met_art_data/images/giovanni_battista_gaulli_il_baciccio_643540.jpg,met_collection_api_2026-04-09
472562,The Fieschi Morgan Staurotheke,Unknown Artist,,early 9th century,,Byzantine,"Gilded silver, gold, enamel worked in cloisonné, and niello","Overall (with lid): 1 1/16 x 4 1/16 x 2 13/16 in. (2.7 x 10.3 x 7.1 cm)
lid only: 2 13/16 x 3 7/8 x 1/8 in. (7.1 x 9.8 x 0.3 cm)
vessel only: 7/8 x 2 15/16 x 4 in. (2.2 x 7.5 x 10.1 cm)",Medieval Art,https://www.metmuseum.org/art/collection/search/472562,https://images.metmuseum.org/CRDImages/md/original/DT119.jpg,https://images.metmuseum.org/CRDImages/md/web-large/DT119.jpg,True,unknown_artist_472562.jpg,unknown_artist,,True,met_art_data/images/unknown_artist_472562.jpg,met_collection_api_2026-04-09
437422,Charity,Guido Reni,Artist,ca. 1630,,,Oil on canvas,54 x 41 3/4 in. (137.2 x 106 cm),European Paintings,https://www.metmuseum.org/art/collection/search/437422,https://images.metmuseum.org/CRDImages/ep/original/DT10776.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DT10776.jpg,True,guido_reni_437422.jpg,guido_reni,1630.0,True,met_art_data/images/guido_reni_437422.jpg,met_collection_api_2026-04-09
544453,Head from a Statue of King Amenhotep I,Unknown Artist,,ca. 1525–1504 B.C.,New Kingdom,,"Sandstone, paint",H. 20 cm (7 7/8 in); weight 6.4 kg (14 lbs),Egyptian Art,https://www.metmuseum.org/art/collection/search/544453,https://images.metmuseum.org/CRDImages/eg/original/DP115769.jpg,https://images.metmuseum.org/CRDImages/eg/web-large/DP115769.jpg,True,unknown_artist_544453.jpg,unknown_artist,1525.0,True,met_art_data/images/unknown_artist_544453.jpg,met_collection_api_2026-04-09
448663,Bowl,Unknown Artist,,15th century,,,Stonepaste; painted in blue and black under transparent glaze,"H. 2 15/16 in. (7.5 cm)
Diam. 5 7/8 in. (14.9 cm)",Islamic Art,https://www.metmuseum.org/art/collection/search/448663,https://images.metmuseum.org/CRDImages/is/original/DP120820.jpg,https://images.metmuseum.org/CRDImages/is/web-large/DP120820.jpg,True,unknown_artist_448663.jpg,unknown_artist,,True,met_art_data/images/unknown_artist_448663.jpg,met_collection_api_2026-04-09
459027,"Portrait of a Woman, Possibly a Nun of San Secondo; (verso) Scene in Grisaille",Jacometto (Jacometto Veneziano),Artist,ca. 1485–95,,,Oil on wood; (verso: oil and gold on wood),"Overall 4 x 2 7/8 in. (10.2 x 7.3 cm); recto and verso, painted surface 3 3/4 x 2 1/2 in. (9.5 x 6.4 cm)",Robert Lehman Collection,https://www.metmuseum.org/art/collection/search/459027,https://images.metmuseum.org/CRDImages/rl/original/DP221483.jpg,https://images.metmuseum.org/CRDImages/rl/web-large/DP221483.jpg,True,jacometto_jacometto_veneziano_459027.jpg,jacometto_jacometto_veneziano,1485.0,True,met_art_data/images/jacometto_jacometto_veneziano_459027.jpg,met_collection_api_2026-04-09
459028,Portrait of Alvise Contarini(?); (verso) A Tethered Roebuck,Jacometto (Jacometto Veneziano),Artist,ca. 1485–95,,,Oil on wood; verso: oil and gold on wood,"Overall 4 5/8 x 3 3/8 in. ; recto, painted surface 4 1/8 x 3 1/8 in.; verso, painted surface 4 3/8 x 3 1/8 in.",Robert Lehman Collection,https://www.metmuseum.org/art/collection/search/459028,https://images.metmuseum.org/CRDImages/rl/original/DP221485.jpg,https://images.metmuseum.org/CRDImages/rl/web-large/DP221485.jpg,True,jacometto_jacometto_veneziano_459028.jpg,jacometto_jacometto_veneziano,1485.0,True,met_art_data/images/jacometto_jacometto_veneziano_459028.jpg,met_collection_api_2026-04-09
267019,"American Barque ""Jane Tudor,"" Conway Bay",David Johnson,Artist,ca. 1855,,,Salted paper print from glass negative,21.9 x 26.7 cm (8 5/8 x 10 1/2 in.),Photographs,https://www.metmuseum.org/art/collection/search/267019,https://images.metmuseum.org/CRDImages/ph/original/DT1161.jpg,https://images.metmuseum.org/CRDImages/ph/web-large/DT1161.jpg,True,david_johnson_267019.jpg,david_johnson,1855.0,True,met_art_data/images/david_johnson_267019.jpg,met_collection_api_2026-04-09
436492,Saint Christopher and the Infant Christ,Domenico Ghirlandaio (Domenico Bigordi),Artist,,,,Fresco,112 x 59 in. (284.5 x 149.9 cm),European Paintings,https://www.metmuseum.org/art/collection/search/436492,https://images.metmuseum.org/CRDImages/ep/original/EP371.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/EP371.jpg,True,domenico_ghirlandaio_domenico_bigordi_436492.jpg,domenico_ghirlandaio_domenico_bigordi,,True,met_art_data/images/domenico_ghirlandaio_domenico_bigordi_436492.jpg,met_collection_api_2026-04-09
49068,Bamboo in Snow,Dapeng Zhengkun (Taihō Shōkon),Artist,1774,Edo period (1615–1868),Japan,Pair of hanging scrolls; ink on silk,"Image (each): 47 1/2 in. × 20 in. (120.7 × 50.8 cm)
Overall with mounting (each): 73 3/8 × 25 3/8 in. (186.4 × 64.5 cm)
Overall with knobs (each): 73 3/8 × 27 5/8 in. (186.4 × 70.2 cm)",Asian Art,https://www.metmuseum.org/art/collection/search/49068,https://images.metmuseum.org/CRDImages/as/original/DP276881.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP276881.jpg,True,dapeng_zhengkun_taih_shkon_49068.jpg,dapeng_zhengkun_taih_shkon,1774.0,True,met_art_data/images/dapeng_zhengkun_taih_shkon_49068.jpg,met_collection_api_2026-04-09
544320,Stela of the Steward Mentuwoser,Unknown Artist,,ca. 1944 B.C.,Middle Kingdom,,"Limestone, paint",H. 103 cm (40 9/16 in.); W. 50.5 cm (19 7/8 in.); Th. 8.3 cm (3 1/4 in.),Egyptian Art,https://www.metmuseum.org/art/collection/search/544320,https://images.metmuseum.org/CRDImages/eg/original/DP322064.jpg,https://images.metmuseum.org/CRDImages/eg/web-large/DP322064.jpg,True,unknown_artist_544320.jpg,unknown_artist,1944.0,True,met_art_data/images/unknown_artist_544320.jpg,met_collection_api_2026-04-09
